year,paper,affiliations
2018,Asynchronous Decentralized Parallel Stochastic Gradient Descent,"Kuaishou Technology Co., Ltd, University of Rochester"
2018,Efficient Bias-Span-Constrained Exploration-Exploitation in Reinforcement Learning,"PhD candidate, Inria Lille, SequeL team"
2018,Learning to search with MCTSnets,Google DeepMind
2018,Decoupled Parallel Backpropagation with Convergence Guarantee,"Research Scientist, Google"
2018,Generative Temporal Models with Spatial Memory for Partially Observed Environments,Technical University of Denmark
2018,Universal Planning Networks: Learning Generalizable Representations for Visuomotor Control,"Research Scientist, OpenAI"
2018,Coordinated Exploration in Concurrent Reinforcement Learning,"Senior Research Scientist, Netflix - Stanford University"
2018,A probabilistic framework for multi-view feature learning with many-to-many associations via neural networks,The Institite of Statistical Mathematics (ISM)
2018,Learning Steady-States of Iterative Algorithms over Graphs,Google Brain
2018,Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples,"PhD Student, Massachusetts Institute of Technology"
2018,Chi-square Generative Adversarial Network,"Applied Scientist, Amazon; Prior Senior Research Associate, Duke University (Statistics and …"
2018,Partial Optimality and Fast Lower Bounds for Weighted Correlation Clustering,Max Planck Institute for Informatics
2018,Stability and Generalization of Learning Algorithms that Converge to Global Optima,"Research Scientist, Google"
2018,Adafactor: Adaptive Learning Rates with Sublinear Memory Cost,Google Inc.
2018,Fast Parametric Learning with Activation Memorization,Senior Staff Research Scientist @ DeepMind
2018,Essentially No Barriers in Neural Network Energy Landscape,Heidelberg University
2018,Bayesian Quadrature for Multiple Related Integrals,Imperial College London
2018,Deep Predictive Coding Network for Object Recognition,"Senior R&D in Autonomous Driving, NVIDIA; Ph.D. in ECE, Purdue University"
2018,Neural Inverse Rendering for General Reflectance Photometric Stereo,"Senior Researcher, OMRON SINIC X Corporation"
2018,On the Relationship between Data Efficiency and Error for Uncertainty Sampling,"Computer Science Postdoc, University of Washington"
2018,Selecting Representative Examples for Program Synthesis,Autodesk Research
2018,Conditional Neural Processes,Research Scientist at DeepMind
2018,Hierarchical Long-term Video Prediction without Supervision,Google
2018,Adversarial Risk and the Dangers of Evaluating Against Weak Attacks,DeepMind
2018,A Classification-Based Study of Covariate Shift in GAN Distributions,"Postdoc, Stanford University"
2018,Automatic Goal Generation for Reinforcement Learning Agents,"PhD student, University of California at Berkeley"
2018,Contextual Graph Markov Model: A Deep and Generative Approach to Graph Processing,"Dipartimento di Informatica, Università di Pisa"
2018,Fast Variance Reduction Method with Stochastic Batch Size,"University of California, Los Angeles"
2018,Nonparametric Regression with Comparisons: Escaping the Curse of Dimensionality with Ordinal Information,"Senior Researcher, Microsoft AI Cognitive Services"
2018,Pseudo-task Augmentation: From Deep Multitask Learning to Intratask Sharing—and Back,Cognizant AI Labs
2018,Deep One-Class Classification,AIgnostics
2018,Binary Partitions with Approximate  Minimum Impurity,PUC-RIO
2018,"Yes, but Did It Work?: Evaluating Variational Inference",Flatiron Institute
2018,Learning to Speed Up Structured Output Prediction,University of Utah
2018,Differentially Private Identity and Equivalence Testing of Discrete Distributions,University of Massachusetts Amherst
2018,BOCK : Bayesian Optimization with Cylindrical Kernels,"PhD student, University of Amsterdam"
2018,Optimal Tuning for Divide-and-conquer Kernel Ridge Regression with Massive Data,"Assistant professor, Department of Management Science, University of Miami"
2018,WHInter: A Working set algorithm for High-dimensional sparse second order Interaction models,"Postdoctoral researcher, Inria Sacaly"
2018,Data-Dependent Stability of Stochastic Gradient Descent,DeepMind
2018,LeapsAndBounds: A Method for Approximately Optimal Algorithm Configuration,DeepMind
2018,Scalable Deletion-Robust Submodular Maximization: Data Summarization with Privacy and Fairness Constraints,Google
2018,Comparing Dynamics: Deep Neural Networks versus Glassy Systems,Eawag
2018,An Optimal Control Approach to Deep Learning and Applications to Discrete-Weight Neural Networks,"Assistant Professor, Department of Mathematics, National University of Singapore"
2018,Not All Samples Are Created Equal: Deep Learning with Importance Sampling,Idiap and EPFL
2018,"Dynamical Isometry and a Mean Field Theory of CNNs: How to Train 10,000-Layer Vanilla Convolutional Neural Networks",Google Brain
2018,Path Consistency Learning in Tsallis Entropy Regularized MDPs,"Research Scientist, Google Research"
2018,Lipschitz Continuity in Model-based Reinforcement Learning,"Research Scientist, Amazon Web Services"
2018,Linear Spectral Estimators and an Application to Phase Retrieval,"Postdoctoral fellow, Carnegie Mellon University, School of Computer Science"
2018,Inference Suboptimality in Variational Autoencoders,Cohere
2018,Semi-Implicit Variational Inference,"Data Science Institute, Columbia University"
2018,A Semantic Loss Function for Deep Learning with Symbolic Knowledge,"PhD student in Network Science, Northeastern University"
2018,An Efficient Semismooth Newton based Algorithm for Convex Clustering,The Hong Kong Polytechnic University
2018,Exploiting the Potential of Standard Convolutional Autoencoders for Image Restoration by Evolutionary Search,Tohoku University
2018,Discovering Interpretable Representations for Both Deep Generative and Discriminative Models,"Machine Learning Group, University of Cambridge"
2018,Tighter Variational Bounds are Not Necessarily Better,University of Oxford
2018,PredRNN++: Towards A Resolution of the Deep-in-Time Dilemma in Spatiotemporal Predictive Learning,"Assistant Professor, Shanghai Jiao Tong University"
2018,Improved Regret Bounds for Thompson Sampling in Linear Quadratic Control Problems,Criteo
2018,Design of Experiments for Model Discrimination Hybridising Analytical and Data-Driven Approaches,"PhD candidate, Imperial College London"
2018,Conditional Noise-Contrastive Estimation of Unnormalised Models,PhD student at KTH Royal Institute of Technology
2018,Canonical Tensor Decomposition for Knowledge Base Completion,Facebook AI Research
2018,The Power of Interpolation:  Understanding the Effectiveness of SGD in Modern Over-parametrized Learning,The Ohio State University
2018,A Simple Stochastic Variance Reduced Algorithm with Fast Convergence Rates,"PhD candidate in CSE, the Chinese University of Hong Kong"
2018,Escaping Saddles with Stochastic Gradients,Inria Paris
2018,Machine Theory of Mind,DeepMind
2018,"Been There, Done That: Meta-Learning with Episodic Recall","Research Scientist, DeepMind"
2018,Coded Sparse Matrix Multiplication,"Research Scientist, Facebook AI"
2018,Efficient Gradient-Free Variational Inference using Policy Search,"Postdoctoral Researcher, Technische Universitaet Darmstadt"
2018,Fixing a Broken ELBO,Google Research
2018,The Generalization Error of Dictionary Learning with Moreau Envelopes,Technical University of Crete
2018,Explicit Inductive Bias for Transfer Learning with Convolutional Networks,Baidu Inc
2018,Optimizing the Latent Space of Generative Networks,Facebook AI Research
2018,Theoretical Analysis of Image-to-Image Translation with Adversarial Learning,Fudan University
2018,Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,DeepMind
2018,Probabilistic Recurrent State-Space Models,"Research Scientist, Bosch Center for Artificial Intelligence, Max Planck Institut IS"
2018,Error Compensated Quantized SGD and its Applications to Large-scale Distributed Optimization,Tencent AI Lab
2018,"Dissecting Adam: The Sign, Magnitude and Variance of Stochastic Gradients",Amazon Research
2018,Differentially Private Database Release via Kernel Mean Embeddings,"Research Scientist, DeepMind"
2018,Extracting Automata from Recurrent Neural Networks Using Queries and Counterexamples,Technion - Israel Institute of Technology
2018,Autoregressive Convolutional Neural Networks for Asynchronous Time Series,"Research Scientist, DeepMind"
2018,Efficient Model-Based Deep Reinforcement Learning with Variational State Tabulation,benevolent.ai
2018,Goodness-of-fit Testing for Discrete Distributions via Stein Discrepancy,Purdue University
2018,Can Deep Reinforcement Learning Solve Erdos-Selfridge-Spencer Games?,Cornell University and Google Brain
2018,Ranking Distributions based on Noisy Sorting,"Research Assistant, Paderborn University"
2018,Deep Models of Interactions Across Sets,"PhD Student, University of British Columbia"
2018,ContextNet: Deep learning for Star Galaxy Classification,"University of California, Irvine"
2018,First Order Generative Adversarial Networks,Zalando Research
2018,Max-Mahalanobis Linear Discriminant Analysis Networks,Tsinghua University; Sea AI Lab
2018,Learning Maximum-A-Posteriori Perturbation Models for Structured Prediction in Polynomial Time,Facebook AI
2018,Towards End-to-End Prosody Transfer for Expressive Speech Synthesis with Tacotron,"Google, Inc."
2018,Differentiable Dynamic Programming for Structured Prediction and Attention,DeepMind
2018,Extreme Learning to Rank via Low Rank Assumption,"PhD, University of California, Los Angeles"
2018,Adversarial Attack on Graph Structured Data,Google Brain
2018,Closed-form Marginal Likelihood in Gamma-Poisson Matrix Factorization,"Aalto University, Department of Computer Science"
2018,Learning Binary Latent Variable Models: A Tensor Eigenpair Approach,The Hebrew University
2018,Learn from Your Neighbor: Learning Multi-modal Mappings from Sparse Annotations,Allen Institute for Artificial Intelligence
2018,Stein Variational Message Passing for Continuous Graphical Models,Facebook
2018,Towards Binary-Valued Gates for Robust LSTM Training,UC Berkeley
2018,Fitting New Speakers Based on a Short Untranscribed Sample,Tel-Aviv University & Facebook AI Research (FAIR)
2018,Stochastic Variance-Reduced Policy Gradient,Politecnico di Milano
2018,Convergent Tree Backup and Retrace with Function Approximation,"PhD candidate, University of Montreal"
2018,Alternating Randomized Block Coordinate Descent,UW-Madison
2018,Learning unknown ODE models with Gaussian processes,"Academy research Fellow, Aalto University"
2018,Approximate Leave-One-Out for Fast Parameter Tuning in High Dimensions,Columbia University
2018,Improved large-scale graph learning through ridge spectral sparsification,"Research Scientist, DeepMind"
2018,Scalable approximate Bayesian inference for particle tracking data,"Columbia University, Google"
2018,Weakly Consistent Optimal Pricing Algorithms in Repeated Posted-Price Auctions with Strategic Buyer,"Yandex, Lomonosov Moscow State University"
2018,Practical Contextual Bandits with Regression Oracles,Microsoft Research
2018,Stochastic Variance-Reduced Hamilton Monte Carlo Methods,"University of California, Los Angeles"
2018,Asynchronous Stochastic Quasi-Newton MCMC for Non-Convex Optimization,INRIA - École Normale Supérieure
2018,GAIN: Missing Data Imputation using Generative Adversarial Nets,Research Scientist at Google Cloud AI
2018,Synthesizing Programs for Images using Reinforced Adversarial Learning,Research Scientist at Google DeepMind
2018,Geometry Score: A Method For Comparing Generative Adversarial Networks,"PhD student, Skoltech"
2018,Addressing Function Approximation Error in Actor-Critic Methods,McGill University
2018,Fast Bellman Updates for Robust MDPs,City University of Hong Kong
2018,Configurable Markov Decision Processes,"Postdoctoral Researcher, Politecnico di Milano"
2018,Dimensionality-Driven Learning with Noisy Labels,"Lecturer@Deakin University, Honorary Fellow@University of Melbourne"
2018,Learning Memory Access Patterns,Google
2018,Visualizing and Understanding Atari Agents,"Oregon State University, ML Collective, ex-Google Brain"
2018,Is Generator Conditioning Causally Related to GAN Performance?,"Research Scientist, Google Brain"
2018,Inductive Two-Layer Modeling with Parametric Bregman Transfer,University of Illinois at Chicago
2018,Does Distributionally Robust Supervised Learning Give Robust Classifiers?,"Ph.D. student, Stanford University"
2018,Parallel and Streaming Algorithms for K-Core Decomposition,Research Scientist at Google
2018,Fast Approximate Spectral Clustering for Dynamic Networks,"PhD Student, EPFL"
2018,Greed is Still Good: Maximizing Monotone Submodular+Supermodular (BP) Functions,"Ph.D. student, University of Washington"
2018,Black-box Adversarial Attacks with Limited Queries and Information,Massachusetts Institute of Technology
2018,Not to Cry Wolf: Distantly Supervised Multitask Learning in Critical Care,GSK AI/ML
2018,Measuring abstract reasoning in neural networks,DeepMind
2018,MentorNet: Learning Data-Driven Curriculum for Very Deep Neural Networks on Corrupted Labels,Research Scientist (Google) & Adjunct Professor (CMU)
2018,Residual Unfairness in Fair Machine Learning from Prejudiced Data,Cornell University
2018,Representation Tradeoffs for Hyperbolic Embeddings,"Assistant Professor, University of Wisconsin"
2018,Improving Sign Random Projections With Additional Information,Singapore University of Technology and Design
2018,"Bandits with Delayed, Aggregated Anonymous Feedback",Imperial College London
2018,Learning Policy Representations in Multiagent Systems,"Assistant Professor of Computer Science, UCLA"
2018,Learning to Coordinate with Coordination Graphs in Repeated Single-Stage Multi-Agent Decision Problems,Vrije Universiteit Brussel
2018,Time Limits in Reinforcement Learning,Imperial College London
2018,Semi-Supervised Learning on Data Streams via Temporal Label Propagation,Microsoft Research
2018,A Fast and Scalable Joint Estimator for Integrating Additional Knowledge in Learning Multiple Related Sparse Gaussian Graphical Models,"PhD student of Computer Science, University of Virginia"
2018,Kernel Recursive ABC: Point Estimation with Intractable Likelihood,NEC
2018,Modeling Others using Oneself in Multi-Agent Reinforcement Learning,New York University
2018,Learning Dynamics of Linear Denoising Autoencoders,"Research Scientist, InstaDeep Ltd"
2018,Training Neural Machines with Trace-Based Supervision,ETH Zürich
2018,Feasible Arm Identification,University of Wisconsin
2018,"Fast Maximization of Non-Submodular, Monotonic Functions on the Integer Lattice",Florida State University
2018,Towards Fast Computation of Certified Robustness for ReLU Networks,MIT
2018,Spatio-temporal Bayesian On-line Changepoint Detection with Model Selection,"Doctoral Researcher, Oxford-Warwick Stats Programme, University of Warwick & Alan …"
2018,Accurate Uncertainties for Deep Learning Using Calibrated Regression,Cornell Tech
2018,Probabilistic Boolean Tensor Decomposition,University of Oxford
2018,A Delay-tolerant Proximal-Gradient Algorithm for Distributed Learning,KAUST
2018,Randomized Block Cubic Newton Method,Université catholique de Louvain (UCLouvain)
2018,To Understand Deep Learning We Need to Understand Kernel Learning,"Professor of Data Science, Halıcıoğlu Data Science Institute, UCSD"
2018,Learning in Reproducing Kernel Kreı̆n Spaces,AstraZeneca Cambridge
2018,Functional Gradient Boosting based on Residual Network Perception,Kyushu Institute of Technology.
2018,"Binary Classification with Karmic, Threshold-Quasi-Concave Metrics",University of Texas at Austin
2018,Characterizing Implicit Bias in Terms of Optimization Geometry,"Senior Researcher, MSR Redmond"
2018,prDeep: Robust Phase Retrieval with a Flexible Deep Network,"University of Maryland, College Park"
2018,Adversarial Time-to-Event Modeling,Stanford University
2018,Multicalibration: Calibration for the (Computationally-Identifiable) Masses,"Graduate Student, UC Santa Barabara"
2018,Focused Hierarchical RNNs for Conditional Sequence Processing,"Google, Deepmind, Mila"
2018,Noise2Noise: Learning Image Restoration without Clean Data,"Associate Professor, Aalto University & Distinguished Research Scientist, NVIDIA"
2018,Learning to Reweight Examples for Robust Deep Learning,University of Toronto
2018,Policy and Value Transfer in Lifelong Reinforcement Learning,"Research Scientist, DeepMind"
2018,GEP-PG: Decoupling Exploration and Exploitation in Deep Reinforcement Learning Algorithms,Inria
2018,Understanding the Loss Surface of Neural Networks for Binary Classification,University of Illinois at Urbana-Champaign
2018,Investigating Human Priors for Playing Video Games,"Graduate student, Princeton University"
2018,Stronger Generalization Bounds for Deep Nets via a Compression Approach,"Professor of Computer Science, Princeton University"
2018,Near Optimal Frequent Directions for Sketching Dense and Sparse Matrices,Fudan University
2018,Loss Decomposition for Fast Learning in Large Output Spaces,"PhD, Machine Learning Department, Carnegie Mellon University"
2018,Stochastic Proximal Algorithms for AUC Maximization,"Graduate Student, University at Albany"
2018,Accelerated Spectral Ranking,"Postdoctoral Research Fellow, Columbia University"
2018,Decomposition of Uncertainty in Bayesian Deep Learning for Efficient and Risk-sensitive Learning,Siemens AG
2018,Fast and Scalable Bayesian Deep Learning by Weight-Perturbation in Adam,"Center for Advanced Intelligence Project (AIP), RIKEN, Tokyo"
2018,Learning One Convolutional Layer with Overlapping Patches,"Postdoctoral Researcher, Microsoft Research NYC"
2018,A Spline Theory of Deep Learning,Facebook AI Research New York
2018,Variational Bayesian dropout: pitfalls and fixes,"PhD student, University of Cambridge"
2018,Deep Variational Reinforcement Learning for POMDPs,University of Oxford
2018,Recurrent Predictive State Policy Networks,"Software Engineer, Waymo"
2018,The Mechanics of n-Player Differentiable Games,XTX Markets
2018,Improved Training of Generative Adversarial Networks Using Representative Features,"Research scientist, T-BrainX, SKTelecom"
2018,Hierarchical Multi-Label Classification Networks,"PUC-Rio, Kunumi, Teia Labs"
2018,Knowledge Transfer with Jacobian Matching,Research Assistant at Idiap Research Institute / PhD student at EPFL
2018,Towards Black-box Iterative Machine Teaching,"University of Cambridge, MPI Tübingen"
2018,Importance Weighted Transfer of Samples in Reinforcement Learning,Inria Lille
2018,Beyond the One-Step Greedy Approach in Reinforcement Learning,"Microsoft Research, New York"
2018,Tempered Adversarial Networks,Google Brain
2018,Delayed Impact of Fair Machine Learning,"Computer Science, UC Berkeley"
2018,Fast Information-theoretic Bayesian Optimisation,"DPhil Student, University of Oxford"
2018,Image Transformer,"Senior Research Scientist, Google Brain"
2018,Kernelized Synaptic Weight Matrices,Huawei Technologies
2018,A Distributed Second-Order Algorithm You Can Trust,Max Planck Institute for Intelligent Systems
2018,Gradient Coding from Cyclic MDS Codes and Expander Graphs,Washington University in St. Louis
2018,Accelerating Greedy Coordinate Descent Methods,"Assistant Professor, University of Chicago"
2018,Improving Regression Performance with Distributional Losses,University of Alberta
2018,QMIX: Monotonic Value Function Factorisation for Deep Multi-Agent Reinforcement Learning,University of Oxford
2018,Learning to Act in Decentralized Partially Observable MDPs,Associate Professor at INSA Lyon / Inria Grenoble Rhône-Alpes
2018,Local Convergence Properties of SAGA/Prox-SVRG and Acceleration,Assistant Professor
2018,Stein Points,The University of Sydney
2018,SADAGRAD: Strongly Adaptive Stochastic Gradient Methods,Cainiao Network
2018,WSNet: Compact and Efficient Networks Through Weight Sampling,"Bytedance Research, USA"
2018,"High-Quality Prediction Intervals for Deep Learning: A Distribution-Free, Ensembled Approach",University of Leicester
2018,Competitive Caching with Machine Learned Advice,MIT
2018,Orthogonal Machine Learning: Power and Limitations,"CDS Moore-Sloan Fellow, New York University"
2018,The Uncertainty Bellman Equation and Exploration,"Stanford University, DeepMind"
2018,A Theoretical Explanation for Perplexing Behaviors of Backpropagation-based Visualizations,NVIDIA Research
2018,A Boo(n) for Evaluating Architecture Performance,University of Oxford
2018,RLlib: Abstractions for Distributed Reinforcement Learning,UC Berkeley
2018,Global Convergence of Policy Gradient Methods for the Linear Quadratic Regulator,"Professor of Electrical and Computer Engineering, University of Washington"
2018,Sound Abstraction and Decomposition of Probabilistic Programs,Northeastern University
2018,Parallel WaveNet: Fast High-Fidelity Speech Synthesis,Google DeepMind
2018,Revealing Common Statistical Behaviors in Heterogeneous Populations,Technion
2018,"An Iterative, Sketching-based Framework for Ridge Regression",Purdue University
2018,Rapid Adaptation with Conditionally Shifted Neurons,"Research Scientist, Google"
2018,PDE-Net: Learning PDEs from Data,Peking University
2018,On Matching Pursuit and Coordinate Descent,"Senior Applied Scientist, Amazon AWS"
2018,Frank-Wolfe with Subsampling Oracle,Geolabe LLC
2018,Reinforcement Learning with Function-Valued Action Spaces for Partial Differential Equation Control,University of Alberta
2018,Adaptive Three Operator Splitting,Google
2018,A Conditional Gradient Framework for Composite Convex Minimization with Applications to Semidefinite Programming,Umeå University
2018,Learning Semantic Representations for Unsupervised Domain Adaptation,Carnegie Mellon University
2018,Spurious Local Minima are Common in Two-Layer ReLU Neural Networks,"Postdoctoral Research Fellow, Princeton University"
2018,Generalized Earley Parser: Bridging Symbolic Grammars and Sequence Data for Future Prediction,Google
2018,Convergence guarantees for a class of non-convex and   non-smooth optimization problems,"Graduate Student, Department Of Statistics, UC Berkeley"
2018,Efficient First-Order Algorithms for Adaptive Signal Denoising,University of Southern California
2018,Noisin: Unbiased Regularization for Recurrent Neural Networks,"Assistant Professor of Computer Science, Princeton University"
2018,Hierarchical Deep Generative Models for Multi-Rate Multivariate Time Series,"AI Innovation Center, Midea Group"
2018,Stochastic Video Generation with a Learned Prior,Google
2018,Adversarially Regularized Autoencoders,"Zhejiang University, ZJU100 Young Professor"
2018,Self-Imitation Learning,"Research Scientist, DeepMind"
2018,Spectrally Approximating Large Graphs with Smaller Graphs,EPFL
2018,Deep Bayesian Nonparametric Tracking,ByteDance
2018,Attention-based Deep Multiple Instance Learning,"PhD candidate in Deep Learning, University of Amsterdam"
2018,Analyzing the Robustness of Nearest Neighbors to Adversarial Examples,"University of California, San Diego"
2018,On the Implicit Bias of Dropout,Johns Hopkins University
2018,Convolutional Imputation of Matrix Networks,Stanford university
2018,Detecting and Correcting for Label Shift with Black Box Predictors,Assistant Professor of Machine Learning at CMU
2018,Comparison-Based Random Forests,Research scientist at Zalando
2018,A Probabilistic Theory of Supervised Similarity Learning for Pointwise ROC Curve Optimization,"Research Associate, University of Edinburgh"
2018,Out-of-sample extension of graph adjacency spectral embedding,"Assistant Professor, University of Wisconsin-Madison"
2018,DCFNet: Deep Neural Network with Decomposed Convolutional Filters,Purdue University
2018,Scalable Gaussian Processes with Grid-Structured Eigenfunctions (GP-GRIEF),University of Toronto
2018,CyCADA: Cycle-Consistent Adversarial Domain Adaptation,"Assistant Professor, Georgia Tech"
2018,Rectify Heterogeneous Models with Semantic Mapping,Nanjing University
2018,DVAE++: Discrete Variational Autoencoders with Overlapping Transformations,Senior Research Scientist at NVIDIA Research
2018,Blind Justice: Fairness with Encrypted Sensitive Attributes,Helmholtz AI
2018,Active Learning with Logged Data,University of California San Diego
2018,A Reductions Approach to Fair Classification,Microsoft Research
2018,Preventing Fairness Gerrymandering: Auditing and Learning for Subgroup Fairness,"Professor of Computer Science, University of Pennsylvania"
2018,Bayesian Model Selection for Change Point Detection and Clustering,KTH Royal institute of technology
2018,Multi-Fidelity Black-Box Optimization with Hierarchical Partitions,Google
2018,"CRAFTML, an Efficient Clustering-based Random Forest for Extreme Multi-label Learning","PhD, Machine Learning, Worldline R&D"
2018,Overcoming Catastrophic Forgetting with Hard Attention to the Task,Dolby Laboratories
2018,Efficient Neural Audio Synthesis,Google Brain Amsterdam
2018,Adaptive Sampled Softmax with Kernel Based Sampling,Stanford University
2018,JointGAN: Multi-Domain Joint Distribution Learning with Generative Adversarial Nets,"Research Scientist, Facebook"
2018,Autoregressive Quantile Networks for Generative Modeling,Google DeepMind
2018,Learning to Explore via Meta-Policy Gradient,Facebook Inc
2018,Online Linear Quadratic Control,Tel-Aviv University and Google
2018,Celer: a Fast Solver for the Lasso with Dual Extrapolation,Università degli studi di Genova
2018,Augmented CycleGAN: Learning Many-to-Many Mappings from Unpaired Data,Facebook AI
2018,On Nesting Monte Carlo Estimators,University of Oxford
2018,The Hierarchical Adaptive Forgetting Variational Filter,Facebook
2018,Junction Tree Variational Autoencoder for Molecular Graph Generation,"CSAIL, EECS, Massachusetts Institute of Technology"
2018,Adaptive Exploration-Exploitation Tradeoff for Opportunistic Bandits,"Software Engineer, Twitter"
2018,Weightless: Lossy weight encoding for deep neural network compression,"Assistant Professor, New York University"
2018,On the Theory of Variance Reduction for Stochastic Gradient Monte Carlo,"Postdoctoral Researcher, Department of Computer Science, Stanford University"
2018,Generalization without Systematicity: On the Compositional Skills of Sequence-to-Sequence Recurrent Networks,"Assistant Professor of Psychology and Data Science, New York University"
2018,Pathwise Derivatives Beyond the Reparameterization Trick,Broad Institute
2018,Message Passing Stein Variational Gradient Descent,Alibaba
2018,Constant-Time Predictive Distributions for Gaussian Processes,Columbia University
2018,On the Generalization of Equivariance and Convolution in Neural Networks to the Action of Compact Groups,"Associate Professor, The University of Chicago"
2018,Probably Approximately Metric-Fair Learning,Weizmann Institute of Science
2018,Neural Program Synthesis from Diverse Demonstration Videos,Ph.D. student in CS at University of Southern California
2018,Video Prediction with Appearance and Motion Conditions,"University of Michigan, Ann Arbor"
2018,CRVI: Convex Relaxation for Variational Inference,"Research Scientist at Spotify, PhD Columbia University 2019"
2018,Bayesian Coreset Construction via Greedy Iterative Geodesic Ascent,"Assistant Professor, Statistics, UBC"
2018,Transformation Autoregressive Networks,"Assistant Professor, University of North Carolina"
2018,Analyzing Uncertainty in Neural Machine Translation,Facebook AI Research
2018,Hierarchical Text Generation and Planning for Strategic Dialogue,"New York University, Facebook AI Research"
2018,Budgeted Experiment Design for Causal Structure Learning,Johns Hopkins University
2018,Accurate Inference for Adaptive Linear Models,"Member of Research Staff, Voleon (Typical Set, LLC)"
2018,Learning Longer-term Dependencies in RNNs with Auxiliary Losses,"Google Brain, NYU"
2018,Understanding and Simplifying One-Shot Architecture Search,Google
2018,Fully Decentralized Multi-Agent Reinforcement Learning with Networked Agents,"LIDS and CSAIL, Massachusetts Institute of Technology"
2018,State Abstractions for Lifelong Reinforcement Learning,"Research Scientist, DeepMind"
