year,paper,affiliations
2018,NAG: Network for Adversary Generation,Indian Institute of Technology Tirupati
2018,Cross-Domain Self-Supervised Multi-Task Feature Learning Using Synthetic Imagery,UIUC
2018,Robust Facial Landmark Detection via a Fully-Convolutional Local-Global Context Network,
2018,Learning to Sketch With Shortcut Cycle Consistency,Queen Mary University of London
2018,FaceID-GAN: Learning a Symmetry Three-Player GAN for Identity-Preserving Face Synthesis,PhD at The Chinese University of Hong Kong
2018,Modulated Convolutional Networks,百度
2018,Learning Steerable Filters for Rotation Equivariant CNNs,University of Amsterdam
2018,Efficient Interactive Annotation of Segmentation Datasets With Polygon-RNN++,University of Toronto
2018,SplineCNN: Fast Geometric Deep Learning With Continuous B-Spline Kernels,TU Dortmund University
2018,GAGAN: Geometry-Aware Generative Adversarial Networks,Senior Research Scientist at NVIDIA
2018,On the Robustness of Semantic Segmentation Models to Adversarial Attacks,"PhD Student, University of Oxford"
2018,Feedback-Prop: Convolutional Neural Network Inference Under Partial Evidence,Facebook AI Research
2018,Frustum PointNets for 3D Object Detection From RGB-D Data,"Research Scientist, Waymo"
2018,3D Object Detection With Latent Support Surfaces,"Applied Research Scientist, Apple"
2018,Towards Faster Training of Global Covariance Pooling Networks by Iterative Matrix Square Root Normalization,Dalian University of Technology
2018,Improving Occlusion and Hard Negative Handling for Single-Stage Pedestrian Detectors,Lawrence Livermore National Laboratory
2018,Learning to Act Properly: Predicting and Explaining Affordances From Images,MIT
2018,Pointwise Convolutional Neural Networks,"Research Scientist, VinAI Research, Vietnam"
2018,Image-Image Domain Adaptation With Preserved Self-Similarity and Domain-Dissimilarity for Person Re-Identification,Australian National University
2018,A Generative Adversarial Approach for Zero-Shot Learning From Noisy Texts,Research Scientist at Bytedance
2018,Hierarchical Novelty Detection for Visual Object Recognition,"Applied Scientist, Amazon Web Services"
2018,Human Semantic Parsing for Person Re-Identification,"Senior Research Scientist, Netflix"
2018,Stacked Latent Attention for Multimodal Reasoning,Facebook AI Research
2018,CSRNet: Dilated Convolutional Neural Networks for Understanding the Highly Congested Scenes,University of Illinois at Urbana-Champaign
2018,On the Convergence of PatchMatch and Its Variants,"CMLA, CNRS, ENS Paris-Saclay"
2018,Rethinking the Faster R-CNN Architecture for Temporal Action Localization,University of Michigan
2018,MoNet: Deep Motion Exploitation for Video Object Segmentation,National University of Defense Technology
2018,Recognizing Human Actions as the Evolution of Pose Estimation Maps,"Associate Professor, Sun Yat-sen University"
2018,Video Person Re-Identification With Competitive Snippet-Similarity Aggregation and Co-Attentive Snippet Embedding,Huawei
2018,Blazingly Fast Video Object Segmentation With Pixel-Wise Metric Learning,Facebook
2018,Learning to Compare: Relation Network for Few-Shot Learning,"Research Scientist, ByteDance"
2018,COCO-Stuff: Thing and Stuff Classes in Context,Data-Algorithms Team Lead at Motional
2018,Learning to Look Around: Intelligently Exploring Unseen Environments for Unknown Tasks,"Assistant Professor, University of Pennsylvania"
2018,"Multi-Evidence Filtering and Fusion for Multi-Label Classification, Object Detection and Semantic Segmentation Based on Weakly Supervised Learning","Department of Computer Science, The University of Hong Kong"
2018,MAttNet: Modular Attention Network for Referring Expression Comprehension,Facebook AI
2018,Conditional Generative Adversarial Network for Structured Domain Adaptation,National University of Singapore
2018,GroupCap: Group-Based Image Captioning With Structured Relevance and Diversity Constraints,"Research Fellow, NUS"
2018,DeepVoting: A Robust and Explainable Deep Network for Semantic Part Detection Under Partial Occlusion,"Software Engineer, Waymo LLC"
2018,Optical Flow Guided Feature: A Fast and Robust Motion Representation for Video Action Recognition,University of Oxford
2018,Excitation Backprop for RNNs,"Research Assistant Professor, Computer Science, Boston University"
2018,Structure Preserving Video Prediction,Xidian University
2018,On the Importance of Label Quality for Semantic Segmentation,Research Scientist - Facebook AI Research (FAIR)
2018,Feedback-Prop: Convolutional Neural Network Inference Under Partial Evidence,Facebook AI Research
2018,Frustum PointNets for 3D Object Detection From RGB-D Data,"Research Scientist, Waymo"
2018,Feedback-Prop: Convolutional Neural Network Inference Under Partial Evidence,Facebook AI Research
2018,Frustum PointNets for 3D Object Detection From RGB-D Data,"Research Scientist, Waymo"
2018,Feedback-Prop: Convolutional Neural Network Inference Under Partial Evidence,Facebook AI Research
2018,Frustum PointNets for 3D Object Detection From RGB-D Data,"Research Scientist, Waymo"
2018,3D Object Detection With Latent Support Surfaces,"Applied Research Scientist, Apple"
2018,Towards Faster Training of Global Covariance Pooling Networks by Iterative Matrix Square Root Normalization,Dalian University of Technology
2018,Improving Occlusion and Hard Negative Handling for Single-Stage Pedestrian Detectors,Lawrence Livermore National Laboratory
2018,Learning to Act Properly: Predicting and Explaining Affordances From Images,MIT
2018,Pointwise Convolutional Neural Networks,"Research Scientist, VinAI Research, Vietnam"
2018,Image-Image Domain Adaptation With Preserved Self-Similarity and Domain-Dissimilarity for Person Re-Identification,Australian National University
2018,A Generative Adversarial Approach for Zero-Shot Learning From Noisy Texts,Research Scientist at Bytedance
2018,Hierarchical Novelty Detection for Visual Object Recognition,"Applied Scientist, Amazon Web Services"
2018,Human Semantic Parsing for Person Re-Identification,"Senior Research Scientist, Netflix"
2018,Stacked Latent Attention for Multimodal Reasoning,Facebook AI Research
2018,CSRNet: Dilated Convolutional Neural Networks for Understanding the Highly Congested Scenes,University of Illinois at Urbana-Champaign
2018,On the Convergence of PatchMatch and Its Variants,"CMLA, CNRS, ENS Paris-Saclay"
2018,Rethinking the Faster R-CNN Architecture for Temporal Action Localization,University of Michigan
2018,MoNet: Deep Motion Exploitation for Video Object Segmentation,National University of Defense Technology
2018,Recognizing Human Actions as the Evolution of Pose Estimation Maps,"Associate Professor, Sun Yat-sen University"
2018,Video Person Re-Identification With Competitive Snippet-Similarity Aggregation and Co-Attentive Snippet Embedding,Huawei
2018,Blazingly Fast Video Object Segmentation With Pixel-Wise Metric Learning,Facebook
2018,Learning to Compare: Relation Network for Few-Shot Learning,"Research Scientist, ByteDance"
2018,COCO-Stuff: Thing and Stuff Classes in Context,Data-Algorithms Team Lead at Motional
2018,Learning to Look Around: Intelligently Exploring Unseen Environments for Unknown Tasks,"Assistant Professor, University of Pennsylvania"
2018,"Multi-Evidence Filtering and Fusion for Multi-Label Classification, Object Detection and Semantic Segmentation Based on Weakly Supervised Learning","Department of Computer Science, The University of Hong Kong"
2018,MAttNet: Modular Attention Network for Referring Expression Comprehension,Facebook AI
2018,Conditional Generative Adversarial Network for Structured Domain Adaptation,National University of Singapore
2018,GroupCap: Group-Based Image Captioning With Structured Relevance and Diversity Constraints,"Research Fellow, NUS"
2018,DeepVoting: A Robust and Explainable Deep Network for Semantic Part Detection Under Partial Occlusion,"Software Engineer, Waymo LLC"
2018,Optical Flow Guided Feature: A Fast and Robust Motion Representation for Video Action Recognition,University of Oxford
2018,Excitation Backprop for RNNs,"Research Assistant Professor, Computer Science, Boston University"
2018,Structure Preserving Video Prediction,Xidian University
2018,On the Importance of Label Quality for Semantic Segmentation,Research Scientist - Facebook AI Research (FAIR)
2018,Duplex Generative Adversarial Network for Unsupervised Domain Adaptation,"Institute of Computing Technology, University of Chinese Academy of Sciences"
2018,MoCoGAN: Decomposing Motion and Content for Video Generation,Snap Research
2018,Improving Landmark Localization With Semi-Supervised Learning,"Postdoctoral fellow, CVLab, EPFL"
2018,Stochastic Variational Inference With Gradient Linearization,TU Darmstadt
2018,Towards Human-Machine Cooperation: Self-Supervised Sample Mining for Object Detection,Sun Yat-sen University
2018,Discrete-Continuous ADMM for Transductive Inference in Higher-Order MRFs,"PhD Student, Technical University of Munich"
2018,Robust Physical-World Attacks on Deep Learning Visual Classification,IBM
2018,A High-Quality Denoising Dataset for Smartphone Cameras,"Samsung AI Center, Toronto"
2018,Enhancing the Spatial Resolution of Stereo Images Using a Parallax Prior,"PhD Student, KAIST"
2018,HATS: Histograms of Averaged Time Surfaces for Robust Event-Based Object Classification,Prophesee
2018,SeedNet: Automatic Seed Generation With Deep Reinforcement Learning for Robust Interactive Segmentation,Seoul National University
2018,Defense Against Adversarial Attacks Using High-Level Representation Guided Denoiser,Tsinghua University
2018,PieAPP: Perceptual Image-Error Assessment Through Pairwise Preference,"University of California, Santa Barbara"
2018,Normalized Cut Loss for Weakly-Supervised CNN Segmentation,Facebook Reality Labs
2018,Fast End-to-End Trainable Guided Filter,"NLPR, INSTITUTE OF AUTOMATION, CHINESE ACADEMY OF SCIENCES"
2018,Learning a Discriminative Feature Network for Semantic Segmentation,"School of Artificial Intelligence and Automation, Huazhong University of Science and …"
2018,pOSE: Pseudo Object Space Error for Initialization-Free Bundle Adjustment,Hanyang University
2018,Deformable Shape Completion With Graph Convolutional Autoencoders,"Research Scientist, NVIDIA"
2018,Learning From Millions of 3D Scans for Large-Scale 3D Face Recognition,"Edith Cowan University, University of Western Australia"
2018,CarFusion: Combining Point Tracking and Part Detection for Dynamic 3D Reconstruction of Vehicles,"Robotic Institute, SCS, Carnegie Mellon University"
2018,Deep Material-Aware Cross-Spectral Stereo Matching,"PhD Student in Computer Science, Carnegie Mellon University"
2018,Augmenting Crowd-Sourced 3D Reconstructions Using Semantic Detections,Facebook
2018,Matryoshka Networks: Predicting 3D Geometry via Nested Shape Layers,Intel
2018,Triplet-Center Loss for Multi-View 3D Object Retrieval,DJI
2018,Learning 3D Shape Completion From Laser Scan Data With Weak Supervision,"PhD Student, Max Planck Institute for Informatics"
2018,End-to-End Learning of Keypoint Detector and Descriptor for Pose Invariant 3D Matching,"Postdoctoral Researcher at GRASP, University of Pennsylvania"
2018,Radially-Distorted Conjugate Translations,Chalmers University
2018,Analytical Modeling of Vanishing Points and Curves in Catadioptric Cameras,"Institute for Systems and Robotics (ISR/IST), LARSyS, Instituto Superior Técnico, Univ …"
2018,Salience Guided Depth Calibration for Perceptually Optimized Compressive Light Field 3D Display,"Institute of Microelectronics, Chinese Academy of Sciences"
2018,MegaDepth: Learning Single-View Depth Prediction From Internet Photos,Cornell University
2018,LayoutNet: Reconstructing the 3D Room Layout From a Single RGB Image,"Research Scientist, Amazon"
2018,CBMV: A Coalesced Bidirectional Matching Volume for Disparity Estimation,"Philippos Mordohai, Stevens Institute of Technology"
2018,Zoom and Learn: Generalizing Deep Stereo Matching to Novel Domains,InterDigital
2018,Learning Facial Action Units From Web Images With Scalable Weakly Supervised Clustering,"Associate Professor, Beijing University of Posts and Telecommunications"
2018,Human Pose Estimation With Parsing Induced Learner,ECE Department of National University of Singapore
2018,Monocular 3D Pose and Shape Estimation of Multiple People in Natural Scenes - The Importance of Multiple Scene Constraints,Google
2018,"3D Human Sensing, Action and Emotion Recognition in Robot Assisted Therapy of Children With Autism",Institute of Mathematics of the Romanian Academy
2018,Facial Expression Recognition by De-Expression Residue Learning,Postdoctoral Research Associate at Rice University
2018,A Causal And-Or Graph Model for Visibility Fluent Reasoning in Tracking Interacting Objects,Facebook Reality Labs
2018,Unifying Identification and Context Learning for Person Recognition,"PhD student of MMLab, CUHK"
2018,Multiple Granularity Group Interaction Prediction,Tencent
2018,Social GAN: Socially Acceptable Trajectories With Generative Adversarial Networks,"PhD Student, Stanford University"
2018,Deep Group-Shuffling Random Walk for Person Re-Identification,Amazon Web  Services
2018,Efficient and Deep Person Re-Identification Using Multi-Level Similarity,"PhD student, Singapore University of Technology and Design"
2018,A Perceptual Measure for Deep Single Image Camera Calibration,"Research Engineer, Adobe"
2018,Context Contrasted Feature and Gated Multi-Scale Aggregation for Scene Segmentation,ETH Zurich
2018,Deep Layer Aggregation,ETH Zurich
2018,xUnit: Learning a Spatial Activation Function for Efficient Image Restoration,"phd. candidate, Technion"
2018,Deformation Aware Image Compression,Technion - Israel Institute of Technology
2018,Residual Dense Network for Image Super-Resolution,ETH Zurich
2018,Attentive Generative Adversarial Network for Raindrop Removal From a Single Image,"PhD Student, Cornell University and Cornell Tech"
2018,Burst Denoising With Kernel Prediction Networks,Research scientist at Google Research
2018,Surface Networks,UC Berkeley
2018,Self-Supervised Multi-Level Face Model Learning for Monocular Reconstruction at Over 250 Hz,Max Planck Institute for Informatics
2018,"CodeSLAM — Learning a Compact, Optimisable Representation for Dense Visual SLAM",DeepMind
2018,SGPN: Similarity Group Proposal Network for 3D Point Cloud Instance Segmentation,University of Southern California
2018,Deep Parametric Continuous Convolutional Neural Networks,University of Illinois at Urbana-Champaign
2018,FeaStNet: Feature-Steered Graph Convolutions for 3D Shape Analysis,PhD at INRIA
2018,Image Collection Pop-Up: 3D Reconstruction and Clustering of Rigid and Non-Rigid Categories,"Associate Researcher, Institut de Robòtica i Informàtica Industrial, CSIC-UPC"
2018,Geometry-Aware Learning of Maps for Camera Localization,"Postdoc, Intel Intelligent Systems Lab"
2018,Recurrent Slice Networks for 3D Segmentation of Point Clouds,Lyft Level 5
2018,Depth-Based 3D Hand Pose Estimation: From Current Achievements to Future Goals,"Senior Research Scientist, Noah's Ark Lab, Huawei"
2018,SobolevFusion: 3D Reconstruction of Scenes Undergoing Free Non-Rigid Motion,Facebook Reality Labs Research
2018,AdaDepth: Unsupervised Content Congruent Adaptation for Depth Estimation,"PhD student, Indian Institute of Science, Banglore"
2018,Learning to Find Good Correspondences,Assistant Professor of Computer Science at the University of British Columbia
2018,OATM: Occlusion Aware Template Matching by Consensus Set Maximization,University of Haifa
2018,Deep Learning of Graph Matching,Google
2018,Lean Multiclass Crowdsourcing,Caltech
2018,Partial Transfer Learning With Selective Adversarial Networks,"Ph.D. of Computer Science, Stanford University"
2018,CondenseNet: An Efficient DenseNet Using Learned Group Convolutions,"Assistant Professor, Tsinghua University"
2018,Decoupled Networks,"University of Cambridge, MPI Tübingen"
2018,Deep Adversarial Metric Learning,Stanford University
2018,PU-Net: Point Cloud Upsampling Network,"Assistant Professor, The University of Hong Kong"
2018,Real-Time Monocular Depth Estimation Using Synthetic Data With Domain Adaptation via Image Style Transfer,"Department of Computer Science, Durham University"
2018,Learning for Disparity Estimation Through Feature Constancy,National University of Defense Technology
2018,Coding Kendall's Shape Trajectories for 3D Action Recognition,Artificial and Natural Intelligence Toulouse Institute (ANITI) and Brown University
2018,"Estimation of Camera Locations in Highly Corrupted Scenarios: All About That Base, No Shape Trouble",Princeton University
2018,Reconstructing Thin Structures of Manifold Surfaces by Integrating Spatial Curves,Everest Innovation Technology (Altizure)
2018,Multi-View Consistency as Supervisory Signal for Learning Shape and Pose Prediction,Carnegie Mellon Univesity
2018,Deep Marching Cubes: Learning Explicit Surface Representations,Zhejiang University
2018,Tags2Parts: Discovering Semantic Regions From Shape Tags,"PhD, University College London"
2018,Robust Depth Estimation From Auto Bracketed Images,"ICE, DGIST"
2018,Camera Pose Estimation With Unknown Principal Point,ETH Zurich
2018,Inverse Composition Discriminative Optimization for Point Cloud Registration,IBM Research-Tokyo
2018,"Pixels, Voxels, and Views: A Study of Shape Representations for Single View 3D Object Shape Prediction","University of California, Irvine"
2018,Defocus Blur Detection via Multi-Stream Bottom-Top-Bottom Fully Convolutional Network,
2018,Curve Reconstruction via the Global Statistics of Natural Curves,Ben-Gurion University
2018,What Do Deep Networks Like to See?,"PhD Researcher, DFKI"
2018,"Detect Globally, Refine Locally: A Novel Approach to Saliency Detection","University of California, Merced"
2018,Beyond the Pixel-Wise Loss for Topology-Aware Delineation,RetinAI Medical
2018,KIPPI: KInetic Polygonal Partitioning of Images,LuxCarta Technology
2018,MoNet: Moments Embedding Network,Qualcomm
2018,Active Fixation Control to Predict Saccade Sequences,"Post-Doc, York University"
2018,Universal Denoising Networks : A Novel CNN Architecture for Image Denoising,"Senior Team Lead, Huawei"
2018,Deep Video Super-Resolution Network Using Dynamic Upsampling Filters Without Explicit Motion Compensation,Ph.D. student
2018,Erase or Fill? Deep Joint Recurrent Rain Removal and Reconstruction in Videos,"Associate Professor, Wangxuan Institute of Computer Technology, Peking University"
2018,Flow Guided Recurrent Neural Encoder for Video Salient Object Detection,"Associate Professor, School of Data and Computer Science, Sun Yat-Sen University, China"
2018,Gated Fusion Network for Single Image Dehazing,"Institute of Information Engineering, Chinese Academy of Sciences"
2018,Learning a Single Convolutional Super-Resolution Network for Multiple Degradations,北京华夏春松科技有限公司
2018,Non-Blind Deblurring: Handling Kernel Uncertainty With CNNs,"Post-doctoral Researcher, EPFL"
2018,BPGrad: Towards Global Optimality in Deep Learning via Branch and Pruning,"Assistant Professor, Worcester Polytechnic Institute (WPI)"
2018,Domain Adaptive Faster R-CNN for Object Detection in the Wild,Facebook
2018,Adversarially Learned One-Class Classifier for Novelty Detection,Institute for Research in Fundamental Sciences (IPM)
2018,Disentangling Factors of Variation by Mixing Them,university of bern
2018,Deformable GANs for Pose-Based Human Image Generation,unitn.it
2018,Hierarchical Recurrent Attention Networks for Structured Online Maps,"Uber ATG, University of Toronto"
2018,Sliced Wasserstein Distance for Learning Gaussian Mixture Models,"Assistant Professor of Computer Science, Vanderbilt University, Nashville, TN"
2018,CLEAR: Cumulative LEARning for One-Shot One-Class Image Recognition,"Postdoctoral Scholar, UCSD"
2018,Multi-Task Learning by Maximizing Statistical Dependence,University of Bath
2018,"Sparse, Smart Contours to Represent and Edit Images","Assistant Professor, Weizmann Institute of Science; Research Scientist, Google"
2018,Facelet-Bank for Fast Portrait Manipulation,Hong Kong University of Science and Technology
2018,3D-RCNN: Instance-Level 3D Object Reconstruction via Render-and-Compare,Google Research
2018,"Fast and Furious: Real Time End-to-End 3D Detection, Tracking and Motion Forecasting With a Single Convolutional Net",Waymo
2018,Zero-Shot Sketch-Image Hashing,University of Oxford
2018,VizWiz Grand Challenge: Answering Visual Questions From Blind People,"Assistant Professor, University of Colorado Boulder - Director of Image and Video …"
2018,Self-Supervised Learning of Geometrically Stable Features Through Probabilistic Introspection,Facebook AI Research
2018,Unsupervised Deep Generative Adversarial Hashing Network,University of Pittsburgh
2018,Wasserstein Introspective Neural Networks,UC San Diego
2018,Taskonomy: Disentangling Task Transfer Learning,"Stanford, UC Berkeley"
2018,Maximum Classifier Discrepancy for Unsupervised Domain Adaptation,Boston University
2018,Unsupervised Feature Learning via Non-Parametric Instance Discrimination,Microsoft Research
2018,Learning From Synthetic Data: Addressing Domain Shift for Semantic Segmentation,"Postdoctoral Associate, CSAIL, MIT"
2018,Empirical Study of the Topology and Geometry of Deep Networks,"Research Scientist, Google DeepMind"
2018,Weakly Supervised Instance Segmentation Using Class Peak Response,University of Chinese Academy of Sciences
2018,Teaching Categories to Human Learners With Visual Explanations,"Lecturer (Assistant Professor), University of Edinburgh"
2018,Density Adaptive Point Set Registration,Linköping University
2018,Left-Right Comparative Recurrent Model for Stereo Matching,Meituan
2018,Modeling Facial Geometry Using Compositional VAEs,Facebook Reality Labs Research
2018,Tangent Convolutions for Dense Prediction in 3D,Bosch Center for Artificial Intelligence
2018,RayNet: Learning Volumetric 3D Reconstruction With Ray Potentials,PhD Candidate in Max Planck Institute for Intelligent Systems and ETH Zürich
2018,Neural 3D Mesh Renderer,Preferred Networks
2018,Beyond Grobner Bases: Basis Selection for Minimal Solvers,ETH Zurich
2018,"Lions and Tigers and Bears: Capturing Non-Rigid, 3D, Articulated Shape From Images",IMATI-CNR
2018,DOTA: A Large-Scale Dataset for Object Detection in Aerial Images,"Professor of Computer Science, Wuhan University, China"
2018,Finding Beans in Burgers: Deep Semantic-Visual Embedding With Localization,EPFL
2018,Feature Super-Resolution: Make Machine See More Clearly,Fudan University
2018,ClusterNet: Detecting Small Objects in Large Scenes by Exploiting Spatio-Temporal Information,"Senior R&D Engineer, Kitware Inc."
2018,MaskLab: Instance Segmentation by Refining Object Detection With Semantic and Direction Features,"Research Scientist, Google LA"
2018,Who Let the Dogs Out? Modeling Dog Behavior From Visual Data,"Research Scientist @ PRIOR, AI2"
2018,Large Scale Fine-Grained Categorization and Domain-Specific Transfer Learning,"Research Scientist, Google"
2018,Data Distillation: Towards Omni-Supervised Learning,"PhD Student, UC Berkeley"
2018,Object Referring in Videos With Language and Human Gaze,"PhD student, ETH Zurich"
2018,A Network Architecture for Point Cloud Classification via Automatic Depth Images Generation,ETH Zürich
2018,Towards Dense Object Tracking in a 2D Honeybee Hive,Center for Molecular Medicine Cologne
2018,Long-Term On-Board Prediction of People in Traffic Scenes Under Uncertainty,University of Tübingen
2018,Single-Shot Refinement Neural Network for Object Detection,beijing forestry university
2018,Tips and Tricks for Visual Question Answering: Learnings From the 2017 Challenge,Idiap Research Institute
2018,Learning to Segment Every Thing,"Research Scientist, Facebook AI Research (FAIR)"
2018,Parallel Attention: A Unified Framework for Visual Object Discovery Through Dialogs and Queries,"Assistant Professor, Monash University"
2018,Attentive Fashion Grammar Network for Fashion Landmark Detection and Clothing Category Classification,"Postdoctoral Scholar, ETH Zurich"
2018,Partially Shared Multi-Task Convolutional Neural Network With Local Constraint for Face Attribute Learning,"Researcher, Ant Financial"
2018,SYQ: Learning Symmetric Quantization for Efficient Deep Neural Networks,University of Sydney
2018,DS*: Tighter Lifting-Free Convex Relaxations for Quadratic Matching Problems,"Assistant Professor, University of Bonn"
2018,Coupled End-to-End Transfer Learning With Generalized Fisher Information,Amazon
2018,Residual Parameter Transfer for Deep Domain Adaptation,"PhD in Computer Vision, EPFL"
2018,Learning to Localize Sound Source in Visual Scenes,KAIST
2018,Dynamic Few-Shot Visual Learning Without Forgetting,Research scientist at valeo.ai
2018,Two-Step Quantization for Low-Bit Neural Networks,CASIA
2018,Conditional Probability Models for Deep Image Compression,Research Scientist at Google
2018,Deep Diffeomorphic Transformer Networks,"Postdoc, Section for Cognitive Systems, Technical University of Denmark (DTU)"
2018,The Lovász-Softmax Loss: A Tractable Surrogate for the Optimization of the Intersection-Over-Union Measure in Neural Networks,Apple Inc.
2018,Generative Adversarial Perturbations,"Research Scientist, Facebook AI"
2018,PointNetVLAD: Deep Point Cloud Based Retrieval for Large-Scale Place Recognition,Stanford University
2018,Im2Struct: Recovering 3D Shape Structure From a Single RGB Image,"National University of Defense Technology, China"
2018,Trust Your Model: Light Field Depth Estimation With Inline Occlusion Handling,"Phd Student, Heidelberg University"
2018,Baseline Desensitizing in Translation Averaging,NEC Labs America
2018,Mining Point Cloud Local Structures by Kernel Correlation and Graph Pooling,Cruise Automation
2018,Large-Scale Point Cloud Semantic Segmentation With Superpoint Graphs,"chargé de recherche, IGN/LaSTIG-STRUDEL"
2018,Very Large-Scale Global SfM by Distributed Motion Averaging,"Director of Algorithm and Engineering, Alibaba Cloud"
2018,ScanComplete: Large-Scale Scene Completion and Semantic Segmentation for 3D Scans,Technical University of Munich
2018,Solving the Perspective-2-Point Problem for Flying-Camera Photo Composition,"Research Fellow of Computer Science, National University of Singapore"
2018,Reflection Removal for Large-Scale 3D Point Clouds,NAVER LABS
2018,Attentional ShapeContextNet for Point Cloud Recognition,"Research Scientist, Facebook AI Research (FAIR)"
2018,Texture Mapping for 3D Reconstruction With RGB-D Sensor,Anhui University
2018,Learning Less Is More - 6D Camera Localization via 3D Surface Regression,"Senior Research Scientist, Niantic"
2018,Indoor RGB-D Compass From a Single Line and Plane,Assistant Professor at Sookmyung Women's University
2018,Geometry-Aware Network for Non-Rigid Shape Prediction From a Single View,Facebook Reality Labs
2018,Sim2Real Viewpoint Invariant Visual Servoing by Recurrent Control,DeepMind
2018,Analysis of Hand Segmentation in the Wild,"Ph.D. Candidate, University of Central Florida"
